cs_year,date_occur,address_norm,gw_addrrecnum,gw_x,gw_y,gw_source
2008,05/30/2008 20:10,2329 Ann Ave,10184227,-90.2210450338027,38.61009217978245,local
2008,06/01/2008 20:48,3520 Natural Bridge Ave,10025696,-90.21622978977325,38.660531929983776,local
2008,06/02/2008 20:18,5211 N Euclid Ave,10098790,-90.24004653285219,38.68640910246973,local
2008,06/06/2008 03:01,1449 Arlington Ave,NA,NA,NA,NA
2008,06/07/2008 21:45,4028 N 23rd St,10200409,-90.2089290571545,38.66295812867389,local
2008,06/08/2008 12:16,3171 Minnesota Ave,NA,NA,NA,NA
2008,06/08/2008 18:32,4900 Barnes Jewish Hospit,NA,NA,NA,NA
2008,06/09/2008 19:00,1515 N Kingshighway Blvd,10036338,-90.26267939269421,38.665047887191406,local
2008,06/10/2008 03:28,5133 Cates Ave,10072483,-90.2676134398037,38.65583234527147,local
2008,06/10/2008 05:30,3921 N 25th St,10183499,-90.20996111285282,38.66109151654712,local
2008,06/10/2008 05:30,3921 N 25th St,10183499,-90.20996111285282,38.66109151654712,local
2008,06/11/2008 16:10,4924 Theodore Ave,10280989,-90.24109208987656,38.686537186316116,local
2008,06/14/2008 02:09,3451 Texas Ave,10141425,-90.22715710263202,38.59191391877786,local
2008,06/16/2008 17:25,1456 Belt Ave,10085235,-90.27275989966705,38.667075304023136,local
2008,06/19/2008 00:30,5143 Northland Ave,10190851,-90.26049341166663,38.67069656183073,local
2008,06/19/2008 18:00,4447 Catherine Pl,10320394,-90.23144144565948,38.68190189962207,local
2008,06/20/2008 18:17,5116 Page Blvd,10029904,-90.26637192256435,38.659955685008896,local
2008,06/22/2008 20:24,5151 Riverview Blvd,NA,NA,NA,NA
2008,06/25/2008 17:46,5043 Claxton Ave,10282046,-90.24724465021896,38.691796261375636,local
2008,06/27/2008 23:55,5126 Ridge Ave,10065567,-90.26662994844473,38.662253146341094,local
2008,06/28/2008 23:02,4500 W Florissant Ave,NA,NA,NA,NA
2008,06/29/2008 05:35,100 Washington Ave,10010629,-90.18535270091249,38.624619960381416,local
2008,06/29/2008 20:20,5226 Louisiana Ave,10166905,-90.24988662709708,38.569571196168056,local
2008,06/29/2008 21:52,6034 Lucille Ave,10317615,-90.25549019696396,38.704839923170454,local
2008,06/30/2008 20:23,5900 Wells Ave,NA,NA,NA,NA
2008,07/01/2008 19:51,5253 Emerson Ave,10257516,-90.24632574140587,38.69446756153782,local
2008,07/03/2008 04:50,9143 Edna St,10289901,-90.23727673121542,38.72394322627823,local
2008,07/06/2008 03:14,5728 Wabada Ave,10118653,-90.27598949910586,38.67462278826945,local
2008,07/10/2008 03:40,2712 Howard St,10072939,-90.21461452429931,38.646309528137,local
2008,07/15/2008 14:40,4757 Dr Martin Luther King,10009347,-90.25496303618078,38.661235228439466,"local, short"
2008,07/21/2008 01:45,4381 Chippewa St,10039607,-90.26673815809198,38.59109050465237,local
2008,07/21/2008 23:07,3938 Botanical Ave,10186440,-90.24759270524815,38.60904715973218,local
2008,07/22/2008 22:27,4004 Labadie Ave,10078168,-90.2285611497084,38.659964750230735,local
2008,07/23/2008 00:58,1368 Burd Ave,10134706,-90.27629947901431,38.66559251476684,local
2008,07/26/2008 18:57,4130 Grove St,10248750,-90.21039156496354,38.66420601212092,local
2008,07/27/2008 01:50,1521 E John Ave,10251313,-90.20866292034574,38.672735783616794,local
2008,08/03/2008 00:15,3842 Lee Ave,10105057,-90.21898409702146,38.66813023129374,local
2008,08/03/2008 13:00,3035 James Cool Papa Bell,10322837,-90.22123760619375,38.64308793037553,"local, short"
2008,08/04/2008 23:45,710 Doddridge St,10316885,-90.22833367551317,38.71726064449113,local
2008,08/05/2008 21:50,8233 Church Rd,10253842,-90.23278936777707,38.7120660904437,local
2008,08/06/2008 23:27,625 Fillmore St,10313511,-90.25101837323905,38.56240023289458,local
2008,08/07/2008 01:40,1822 N Grand Blvd,10054740,-90.2240301687568,38.65017729378713,local
2008,08/08/2008 00:08,2920 Keokuk St,10226797,-90.2348394857146,38.58497532961066,local
2008,08/09/2008 03:57,3117 Iowa Ave,10195666,-90.22791417039308,38.59931521870547,local
2008,08/09/2008 21:35,4026 Dryden Ave,10176281,-90.23857931697476,38.67459500963141,local
2008,08/14/2008 02:33,Henner Ave at Bircher,NA,NA,NA,NA
2008,08/17/2008 00:25,5031 Arlington Ave,10101953,-90.2482600203367,38.69233105729319,local
2008,08/17/2008 19:35,4026 S Compton Ave,10099795,-90.23801012531632,38.58287705658405,local
2008,08/19/2008 22:18,3917 Louisiana Ave,10167093,-90.24114887166759,38.58547402526407,local
2008,08/21/2008 19:53,4218 Fair Ave,10168176,-90.224235050429,38.67227746398542,local
2008,08/23/2008 22:53,947 Beach Ave,10299008,-90.29111136460871,38.66067960620978,local
2008,08/29/2008 23:24,N Broadway at Wall St,NA,NA,NA,NA
2008,08/31/2008 00:41,3720 French Ave,10301570,-90.26649319256828,38.55921472434443,local
2008,08/31/2008 01:55,3127 Brantner Pl,10251982,-90.22338226349277,38.64556447549191,local
2008,08/31/2008 23:09,3546 Gravois Ave,10051925,-90.24326846652137,38.59231286947521,local
2008,09/01/2008 00:43,1621 Mclaran Ave,10277637,-90.24416960348688,38.71707213937339,local
2008,09/01/2008 19:36,5956 Era Ave,10283360,-90.2513793542222,38.714121723539584,local
2008,09/01/2008 21:50,2219 Arsenal St,10044330,-90.22280428273861,38.59875999936832,local
2008,09/02/2008 00:20,4130 W Natural Bridge Ave,10335411,-90.23017179690781,38.66658761805803,local
2008,09/03/2008 22:32,5335 Ruskin Ave,10278610,-90.24243518156706,38.6911533521318,local
2008,09/06/2008 15:00,434 Christian Ave,10296916,-90.22930099508532,38.70726104066246,local
2008,09/06/2008 22:15,3949 Cote Brilliante Ave,10057200,-90.2322035826811,38.653072595210844,local
2008,09/07/2008 01:25,3635 Alberta St,10270100,-90.24618303842496,38.58564889656092,local
2008,09/07/2008 06:30,2800 N Garrison Ave,NA,NA,NA,NA
2008,09/09/2008 11:50,6016 Grimshaw Ave,10300669,-90.27440164421394,38.68958078773287,local
2008,09/16/2008 20:05,1508 Lasalle Ln,10202781,-90.20656177155685,38.617725076255276,local
2008,09/17/2008 22:20,1210 S 6th St,NA,NA,NA,NA
2008,09/19/2008 22:50,1721 Belle Glade Ave,10237376,-90.2368776222567,38.65473840935554,local
2008,09/20/2008 21:57,4105 N 20th St,10143280,-90.20547223162016,38.66484410297814,local
2008,09/24/2008 20:38,4813 N 20th St,10143432,-90.21038680861274,38.672250894851295,local
2008,09/25/2008 02:07,4813 N 20th St,10143432,-90.21038680861274,38.672250894851295,local
2008,09/27/2008 06:00,2025 E Grand Blvd,10260857,-90.2095431463195,38.67020876559581,local
2008,09/27/2008 11:55,5038 Thekla Ave,NA,NA,NA,NA
2008,09/27/2008 12:58,5722 Pamplin Pl,10299760,-90.25271623540709,38.70912521615937,local
2008,10/01/2008 19:47,1601 S Spring Ave,NA,NA,NA,NA
2008,10/02/2008 00:20,5001 Page Blvd,10031032,-90.2623013267419,38.66017234374402,local
2008,10/03/2008 22:39,2815 Gamble St,10196916,-90.21642225849929,38.64143523196548,local
2008,10/09/2008 19:43,3447 Union Blvd,10046082,-90.26059562312966,38.67976684257181,local
2008,10/10/2008 19:34,4049 West Pine Blvd,10160170,-90.24517116370643,38.63867549411339,local
2008,10/11/2008 23:15,1602 Academy Ave,NA,NA,NA,NA
2008,10/17/2008 02:28,3200 Montgomery St,10132329,-90.22093846395123,38.65195365930982,local
2008,10/20/2008 20:04,6313 Laura Ave,10289828,-90.26307853691115,38.70269987710199,local
2008,10/21/2008 20:00,2807 Thomas St,10140233,-90.2161210273863,38.64400871611177,local
2008,10/23/2008 19:25,4501 Minnesota Ave,10126299,-90.23889392056572,38.57458562771021,local
2008,10/26/2008 12:20,2931 Hebert St,10102783,-90.21535577462082,38.65837972619507,local
2008,10/29/2008 16:36,5800 Cabanne Ave,10077004,-90.28646105436793,38.65849425620079,local
2008,11/05/2008 02:45,1101 Jefferson,NA,NA,NA,NA
2008,11/05/2008 17:05,10101 Riverview Dr,NA,NA,NA,NA
2008,11/05/2008 19:10,5926 Alpha Ave,10316130,-90.25027774245137,38.712652752871826,local
2008,11/06/2008 07:15,1501 Market St,10099310,-90.2034401959123,38.62897432470921,local
2008,11/07/2008 06:01,4169 Parker Ave,10266846,-90.25865382608409,38.59707073032753,local
2008,11/08/2008 07:00,2140 Hampton Ave,10074594,-90.28635718817999,38.61632049113434,local
2008,11/11/2008 18:00,4010 Cora Ave,NA,NA,NA,NA
2008,11/11/2008 21:05,4737 Mcmillan Ave,10238284,-90.25628768936059,38.654171635954704,local
